Term,Definition
Al                                                                                                                                                                                                                                                             ,Expressed as aluminium
As                                                                                                                                                                                                                                                             ,Expressed as arsenic
B                                                                                                                                                                                                                                                              ,Expressed as boron
Ba                                                                                                                                                                                                                                                             ,Expressed as barium
Br                                                                                                                                                                                                                                                             ,Expressed as bromine
C                                                                                                                                                                                                                                                              ,Expressed as carbon
C2H6                                                                                                                                                                                                                                                           ,Expressed as ethane
Ca                                                                                                                                                                                                                                                             ,Expressed as calcium
CaCO3                                                                                                                                                                                                                                                          ,Expressed as calcium carbonate
Cd                                                                                                                                                                                                                                                             ,Expressed as cadmium
CH4                                                                                                                                                                                                                                                            ,Expressed as methane
Cl                                                                                                                                                                                                                                                             ,Expressed as chlorine
Co                                                                                                                                                                                                                                                             ,Expressed as cobalt
CO2                                                                                                                                                                                                                                                            ,Expressed as carbon dioxide
CO3                                                                                                                                                                                                                                                            ,Expressed as carbonate
Cr                                                                                                                                                                                                                                                             ,Expressed as chromium
Cu                                                                                                                                                                                                                                                             ,Expressed as copper
delta 2H                                                                                                                                                                                                                                                       ,Expressed as deuterium
delta N15                                                                                                                                                                                                                                                      ,Expressed as nitrogen-15
delta O18                                                                                                                                                                                                                                                      ,Expressed as oxygen-18
EC                                                                                                                                                                                                                                                             ,Expressed as electrical conductivity
F                                                                                                                                                                                                                                                              ,Expressed as fluorine 
Fe                                                                                                                                                                                                                                                             ,Expressed as iron
H2O                                                                                                                                                                                                                                                            ,Expressed as water
HCO3                                                                                                                                                                                                                                                           ,Expressed as hydrogen carbonate
Hg                                                                                                                                                                                                                                                             ,Expressed as mercury
K                                                                                                                                                                                                                                                              ,Expressed as potassium
Mg                                                                                                                                                                                                                                                             ,Expressed as magnesium
Mn                                                                                                                                                                                                                                                             ,Expressed as manganese
Mo                                                                                                                                                                                                                                                             ,Expressed as molybdenum
N                                                                                                                                                                                                                                                              ,Expressed as nitrogen
Na                                                                                                                                                                                                                                                             ,Expressed as sodium
NH4                                                                                                                                                                                                                                                            ,Expressed as ammonium
Ni                                                                                                                                                                                                                                                             ,Expressed as nickel
NO2                                                                                                                                                                                                                                                            ,Expressed as nitrite
NO3                                                                                                                                                                                                                                                            ,Expressed as nitrate
Not Applicable                                                                                                                                                                                                                                                 ,Speciation is not applicable
P                                                                                                                                                                                                                                                              ,Expressed as phosphorus
Pb                                                                                                                                                                                                                                                             ,Expressed as lead
pH                                                                                                                                                                                                                                                             ,Expressed as pH
PO4                                                                                                                                                                                                                                                            ,Expressed as phosphate
S                                                                                                                                                                                                                                                              ,Expressed as Sulfur
Sb                                                                                                                                                                                                                                                             ,Expressed as antimony
Se                                                                                                                                                                                                                                                             ,Expressed as selenium
Si                                                                                                                                                                                                                                                             ,Expressed as silicon
SiO2                                                                                                                                                                                                                                                           ,Expressed as silicate
SN                                                                                                                                                                                                                                                             ,Expressed as tin
SO4                                                                                                                                                                                                                                                            ,Expressed as Sulfate
Sr                                                                                                                                                                                                                                                             ,Expressed as strontium
TA                                                                                                                                                                                                                                                             ,Expressed as total alkalinity
Ti                                                                                                                                                                                                                                                             ,Expressed as titanium
Tl                                                                                                                                                                                                                                                             ,Expressed as thallium
U                                                                                                                                                                                                                                                              ,Expressed as uranium
V                                                                                                                                                                                                                                                              ,Expressed as vanadium
Zn                                                                                                                                                                                                                                                             ,Expressed as zinc
Zr                                                                                                                                                                                                                                                             ,Expressed as zircon
Unknown                                                                                                                                                                                                                                                        ,Speciation is unknown
