UnitsID,UnitsName,UnitsType,UnitsAbbreviation
1,percent                                                                                                                                                                                                                                                        ,Dimensionless                                                                                                                                                                                                                                                  ,%                                                                                                                                                                                                                                                              
2,degree                                                                                                                                                                                                                                                         ,Angle                                                                                                                                                                                                                                                          ,deg                                                                                                                                                                                                                                                            
3,grad                                                                                                                                                                                                                                                           ,Angle                                                                                                                                                                                                                                                          ,grad                                                                                                                                                                                                                                                           
4,radian                                                                                                                                                                                                                                                         ,Angle                                                                                                                                                                                                                                                          ,rad                                                                                                                                                                                                                                                            
5,degree north                                                                                                                                                                                                                                                   ,Angle                                                                                                                                                                                                                                                          ,degN                                                                                                                                                                                                                                                           
6,degree south                                                                                                                                                                                                                                                   ,Angle                                                                                                                                                                                                                                                          ,degS                                                                                                                                                                                                                                                           
7,degree west                                                                                                                                                                                                                                                    ,Angle                                                                                                                                                                                                                                                          ,degW                                                                                                                                                                                                                                                           
8,degree east                                                                                                                                                                                                                                                    ,Angle                                                                                                                                                                                                                                                          ,degE                                                                                                                                                                                                                                                           
9,arcminute                                                                                                                                                                                                                                                      ,Angle                                                                                                                                                                                                                                                          ,arcmin                                                                                                                                                                                                                                                         
10,arcsecond                                                                                                                                                                                                                                                      ,Angle                                                                                                                                                                                                                                                          ,arcsec                                                                                                                                                                                                                                                         
11,steradian                                                                                                                                                                                                                                                      ,Angle                                                                                                                                                                                                                                                          ,sr                                                                                                                                                                                                                                                             
12,acre                                                                                                                                                                                                                                                           ,Area                                                                                                                                                                                                                                                           ,ac                                                                                                                                                                                                                                                             
13,hectare                                                                                                                                                                                                                                                        ,Area                                                                                                                                                                                                                                                           ,ha                                                                                                                                                                                                                                                             
14,square centimeter                                                                                                                                                                                                                                              ,Area                                                                                                                                                                                                                                                           ,cm^2                                                                                                                                                                                                                                                           
15,square foot                                                                                                                                                                                                                                                    ,Area                                                                                                                                                                                                                                                           ,ft^2                                                                                                                                                                                                                                                           
16,square kilometer                                                                                                                                                                                                                                               ,Area                                                                                                                                                                                                                                                           ,km^2                                                                                                                                                                                                                                                           
17,square meter                                                                                                                                                                                                                                                   ,Area                                                                                                                                                                                                                                                           ,m^2                                                                                                                                                                                                                                                            
18,square mile                                                                                                                                                                                                                                                    ,Area                                                                                                                                                                                                                                                           ,mi^2                                                                                                                                                                                                                                                           
19,hertz                                                                                                                                                                                                                                                          ,Frequency                                                                                                                                                                                                                                                      ,Hz                                                                                                                                                                                                                                                             
20,darcy                                                                                                                                                                                                                                                          ,Permeability                                                                                                                                                                                                                                                   ,D                                                                                                                                                                                                                                                              
21,british thermal unit                                                                                                                                                                                                                                           ,Energy                                                                                                                                                                                                                                                         ,BTU                                                                                                                                                                                                                                                            
22,calorie                                                                                                                                                                                                                                                        ,Energy                                                                                                                                                                                                                                                         ,cal                                                                                                                                                                                                                                                            
23,erg                                                                                                                                                                                                                                                            ,Energy                                                                                                                                                                                                                                                         ,erg                                                                                                                                                                                                                                                            
24,foot pound force                                                                                                                                                                                                                                               ,Energy                                                                                                                                                                                                                                                         ,lbf ft                                                                                                                                                                                                                                                         
25,joule                                                                                                                                                                                                                                                          ,Energy                                                                                                                                                                                                                                                         ,J                                                                                                                                                                                                                                                              
26,kilowatt hour                                                                                                                                                                                                                                                  ,Energy                                                                                                                                                                                                                                                         ,kW hr                                                                                                                                                                                                                                                          
27,electronvolt                                                                                                                                                                                                                                                   ,Energy                                                                                                                                                                                                                                                         ,eV                                                                                                                                                                                                                                                             
28,langleys per day                                                                                                                                                                                                                                               ,Energy Flux                                                                                                                                                                                                                                                    ,Ly/d                                                                                                                                                                                                                                                           
29,langleys per minute                                                                                                                                                                                                                                            ,Energy Flux                                                                                                                                                                                                                                                    ,Ly/min                                                                                                                                                                                                                                                         
30,langleys per second                                                                                                                                                                                                                                            ,Energy Flux                                                                                                                                                                                                                                                    ,Ly/s                                                                                                                                                                                                                                                           
31,megajoules per square meter per day                                                                                                                                                                                                                            ,Energy Flux                                                                                                                                                                                                                                                    ,MJ/m^2 d                                                                                                                                                                                                                                                       
32,watts per square centimeter                                                                                                                                                                                                                                    ,Energy Flux                                                                                                                                                                                                                                                    ,W/cm^2                                                                                                                                                                                                                                                         
33,watts per square meter                                                                                                                                                                                                                                         ,Energy Flux                                                                                                                                                                                                                                                    ,W/m^2                                                                                                                                                                                                                                                          
34,acre feet per year                                                                                                                                                                                                                                             ,Flow                                                                                                                                                                                                                                                           ,ac ft/yr                                                                                                                                                                                                                                                       
35,cubic feet per second                                                                                                                                                                                                                                          ,Flow                                                                                                                                                                                                                                                           ,cfs                                                                                                                                                                                                                                                            
36,cubic meters per second                                                                                                                                                                                                                                        ,Flow                                                                                                                                                                                                                                                           ,m^3/s                                                                                                                                                                                                                                                          
37,cubic meters per day                                                                                                                                                                                                                                           ,Flow                                                                                                                                                                                                                                                           ,m^3/d                                                                                                                                                                                                                                                          
38,gallons per minute                                                                                                                                                                                                                                             ,Flow                                                                                                                                                                                                                                                           ,gpm                                                                                                                                                                                                                                                            
39,liters per second                                                                                                                                                                                                                                              ,Flow                                                                                                                                                                                                                                                           ,L/s                                                                                                                                                                                                                                                            
