VariableID,VariableCode,VariableName,Speciation,VariableUnitsID,SampleMedium,ValueType,IsRegular,TimeSupport,TimeUnitsID,DataType,GeneralCategory,NoDataValue
19,E                                                 ,Evaporation                                                                                                                                                                                                                                                    ,Unknown                                                                                                                                                                                                                                                        ,54,Air                                                                                                                                                                                                                                                            ,Field Observation                                                                                                                                                                                                                                              ,f,24,102,Cumulative                                                                                                                                                                                                                                                     ,Climate                                                                                                                                                                                                                                                        ,-9999
21,RH                                                ,Relative Humidity                                                                                                                                                                                                                                              ,Unknown                                                                                                                                                                                                                                                        ,1,Air                                                                                                                                                                                                                                                            ,Field Observation                                                                                                                                                                                                                                              ,f,24,102,Average                                                                                                                                                                                                                                                        ,Climate                                                                                                                                                                                                                                                        ,-9999
24,WD                                                ,Wind direction                                                                                                                                                                                                                                                 ,Unknown                                                                                                                                                                                                                                                        ,2,Air                                                                                                                                                                                                                                                            ,Field Observation                                                                                                                                                                                                                                              ,f,24,102,Average                                                                                                                                                                                                                                                        ,Climate                                                                                                                                                                                                                                                        ,-9999
26,VP                                                ,Vapor pressure                                                                                                                                                                                                                                                 ,Unknown                                                                                                                                                                                                                                                        ,83,Air                                                                                                                                                                                                                                                            ,Field Observation                                                                                                                                                                                                                                              ,f,24,102,Average                                                                                                                                                                                                                                                        ,Climate                                                                                                                                                                                                                                                        ,-9999
28,SH                                                ,Sunny Hour                                                                                                                                                                                                                                                     ,Unknown                                                                                                                                                                                                                                                        ,103,Air                                                                                                                                                                                                                                                            ,Field Observation                                                                                                                                                                                                                                              ,f,24,102,Cumulative                                                                                                                                                                                                                                                     ,Climate                                                                                                                                                                                                                                                        ,-9999
30,OCC                                               ,Overall Cloud Cover                                                                                                                                                                                                                                            ,Unknown                                                                                                                                                                                                                                                        ,349,Air                                                                                                                                                                                                                                                            ,Field Observation                                                                                                                                                                                                                                              ,f,24,102,Average                                                                                                                                                                                                                                                        ,Climate                                                                                                                                                                                                                                                        ,-9999
32,Swin                                              ,Incoming shortwave radiation                                                                                                                                                                                                                                   ,Unknown                                                                                                                                                                                                                                                        ,33,Air                                                                                                                                                                                                                                                            ,Field Observation                                                                                                                                                                                                                                              ,f,24,102,Average                                                                                                                                                                                                                                                        ,Climate                                                                                                                                                                                                                                                        ,-9999
34,Tmin                                              ,Minimum Temperature                                                                                                                                                                                                                                            ,Unknown                                                                                                                                                                                                                                                        ,2,Air                                                                                                                                                                                                                                                            ,Field Observation                                                                                                                                                                                                                                              ,f,24,102,Average                                                                                                                                                                                                                                                        ,Climate                                                                                                                                                                                                                                                        ,-9999
36,H                                                 ,Water Level                                                                                                                                                                                                                                                    ,Unknown                                                                                                                                                                                                                                                        ,52,Surface Water                                                                                                                                                                                                                                                  ,Field Observation                                                                                                                                                                                                                                              ,f,24,102,Average                                                                                                                                                                                                                                                        ,Hydrology                                                                                                                                                                                                                                                      ,-9999
38,pH                                                ,"pH, unfiltered                                                                                                                                                                                                                                                 ",Unknown                                                                                                                                                                                                                                                        ,309,Surface Water                                                                                                                                                                                                                                                  ,Field Observation                                                                                                                                                                                                                                              ,f,24,102,Average                                                                                                                                                                                                                                                        ,Water Quality                                                                                                                                                                                                                                                  ,-9999
40,Twater                                            ,Water temperature                                                                                                                                                                                                                                              ,Unknown                                                                                                                                                                                                                                                        ,2,Surface Water                                                                                                                                                                                                                                                  ,Field Observation                                                                                                                                                                                                                                              ,f,24,102,Average                                                                                                                                                                                                                                                        ,Water Quality                                                                                                                                                                                                                                                  ,-9999
42,SAL                                               ,Salinity                                                                                                                                                                                                                                                       ,Unknown                                                                                                                                                                                                                                                        ,207,Surface Water                                                                                                                                                                                                                                                  ,Field Observation                                                                                                                                                                                                                                              ,f,24,102,Average                                                                                                                                                                                                                                                        ,Water Quality                                                                                                                                                                                                                                                  ,-9999
44,TUB                                               ,Turbidity                                                                                                                                                                                                                                                      ,Unknown                                                                                                                                                                                                                                                        ,221,Surface Water                                                                                                                                                                                                                                                  ,Field Observation                                                                                                                                                                                                                                              ,f,24,102,Average                                                                                                                                                                                                                                                        ,Water Quality                                                                                                                                                                                                                                                  ,-9999
46,ORP                                               ,Oxidation Reduction Potential                                                                                                                                                                                                                                  ,Unknown                                                                                                                                                                                                                                                        ,169,Surface Water                                                                                                                                                                                                                                                  ,Field Observation                                                                                                                                                                                                                                              ,f,24,102,Average                                                                                                                                                                                                                                                        ,Water Quality                                                                                                                                                                                                                                                  ,-9999
23,RHmax                                             ,Maximum Humidity                                                                                                                                                                                                                                               ,Unknown                                                                                                                                                                                                                                                        ,1,Air                                                                                                                                                                                                                                                            ,Field Observation                                                                                                                                                                                                                                              ,f,24,102,Average                                                                                                                                                                                                                                                        ,Climate                                                                                                                                                                                                                                                        ,-9999
50,TD                                                ,"Temperature, dew point                                                                                                                                                                                                                                         ",Unknown                                                                                                                                                                                                                                                        ,2,Air                                                                                                                                                                                                                                                            ,Field Observation                                                                                                                                                                                                                                              ,f,24,102,Average                                                                                                                                                                                                                                                        ,Climate                                                                                                                                                                                                                                                        ,-9999
20,RF                                                ,Precipitation                                                                                                                                                                                                                                                  ,Unknown                                                                                                                                                                                                                                                        ,54,Precipitation                                                                                                                                                                                                                                                  ,Field Observation                                                                                                                                                                                                                                              ,f,24,102,Cumulative                                                                                                                                                                                                                                                     ,Climate                                                                                                                                                                                                                                                        ,-9999
22,RHmin                                             ,Minimum Humidity                                                                                                                                                                                                                                               ,Unknown                                                                                                                                                                                                                                                        ,1,Air                                                                                                                                                                                                                                                            ,Field Observation                                                                                                                                                                                                                                              ,f,24,102,Average                                                                                                                                                                                                                                                        ,Climate                                                                                                                                                                                                                                                        ,-9999
25,WS                                                ,Wind speed                                                                                                                                                                                                                                                     ,Unknown                                                                                                                                                                                                                                                        ,119,Air                                                                                                                                                                                                                                                            ,Field Observation                                                                                                                                                                                                                                              ,f,24,102,Average                                                                                                                                                                                                                                                        ,Climate                                                                                                                                                                                                                                                        ,-9999
27,T                                                 ,Temperature                                                                                                                                                                                                                                                    ,Unknown                                                                                                                                                                                                                                                        ,2,Air                                                                                                                                                                                                                                                            ,Field Observation                                                                                                                                                                                                                                              ,f,24,102,Average                                                                                                                                                                                                                                                        ,Climate                                                                                                                                                                                                                                                        ,-9999
29,NN                                                ,Observed Cloud Cover                                                                                                                                                                                                                                           ,Unknown                                                                                                                                                                                                                                                        ,349,Air                                                                                                                                                                                                                                                            ,Field Observation                                                                                                                                                                                                                                              ,f,24,102,Average                                                                                                                                                                                                                                                        ,Climate                                                                                                                                                                                                                                                        ,-9999
31,LCC                                               ,Lowlevel Cloud Cover                                                                                                                                                                                                                                           ,Unknown                                                                                                                                                                                                                                                        ,349,Air                                                                                                                                                                                                                                                            ,Field Observation                                                                                                                                                                                                                                              ,f,24,102,Average                                                                                                                                                                                                                                                        ,Climate                                                                                                                                                                                                                                                        ,-9999
33,Tmax                                              ,Maximum Temperature                                                                                                                                                                                                                                            ,Unknown                                                                                                                                                                                                                                                        ,2,Air                                                                                                                                                                                                                                                            ,Field Observation                                                                                                                                                                                                                                              ,f,24,102,Average                                                                                                                                                                                                                                                        ,Climate                                                                                                                                                                                                                                                        ,-9999
35,P                                                 ,"Pressure, absolute                                                                                                                                                                                                                                             ",Unknown                                                                                                                                                                                                                                                        ,83,Air                                                                                                                                                                                                                                                            ,Field Observation                                                                                                                                                                                                                                              ,f,24,102,Average                                                                                                                                                                                                                                                        ,Climate                                                                                                                                                                                                                                                        ,-9999
37,Q                                                 ,Discharge                                                                                                                                                                                                                                                      ,Unknown                                                                                                                                                                                                                                                        ,36,Surface Water                                                                                                                                                                                                                                                  ,Field Observation                                                                                                                                                                                                                                              ,f,24,102,Average                                                                                                                                                                                                                                                        ,Hydrology                                                                                                                                                                                                                                                      ,-9999
41,CON                                               ,Electrical conductivity                                                                                                                                                                                                                                        ,Unknown                                                                                                                                                                                                                                                        ,192,Surface Water                                                                                                                                                                                                                                                  ,Field Observation                                                                                                                                                                                                                                              ,f,24,102,Average                                                                                                                                                                                                                                                        ,Water Quality                                                                                                                                                                                                                                                  ,-9999
