DataValue,LocalDateTime,UTCOffset,SiteCode,VariableCode,CensorCode,SourceID,QualityControlLevelID,MethodDescription
46,03/19/2013 11:20:00,7,BINHSON_WQ,CON,,1,,Manual
-9999,03/21/2013 17:31:00,7,BINHSON_WQ,CON,,1,,Manual
39,04/03/2013 17:05:00,7,BINHSON_WQ,CON,,1,,Manual
36,04/08/2013 11:08:00,7,BINHSON_WQ,CON,,1,,Manual
58,04/17/2013 16:12:00,7,BINHSON_WQ,CON,,1,,Manual
49,04/22/2013 09:46:00,7,BINHSON_WQ,CON,,1,,Manual
47,04/25/2013 16:30:00,7,BINHSON_WQ,CON,,1,,Manual
49,05/03/2013 16:20:00,7,BINHSON_WQ,CON,,1,,Manual
57,05/07/2013 16:10:00,7,BINHSON_WQ,CON,,1,,Manual
68,05/16/2013 15:55:00,7,BINHSON_WQ,CON,,1,,Manual
76,05/21/2013 16:40:00,7,BINHSON_WQ,CON,,1,,Manual
59,05/31/2013 16:55:00,7,BINHSON_WQ,CON,,1,,Manual
82,06/13/2013 16:50:00,7,BINHSON_WQ,CON,,1,,Manual
89,06/21/2013 16:50:00,7,BINHSON_WQ,CON,,1,,Manual
76,06/26/2013 16:45:00,7,BINHSON_WQ,CON,,1,,Manual
79,07/01/2013 16:55:00,7,BINHSON_WQ,CON,,1,,Manual
87,08/07/2013 16:50:00,7,BINHSON_WQ,CON,,1,,Manual
83,08/22/2013 16:45:00,7,BINHSON_WQ,CON,,1,,Manual
92,08/30/2013 16:40:00,7,BINHSON_WQ,CON,,1,,Manual
