SiteCode,SiteName,Latitude,Longitude,LatLongDatumSRSName,Elevation_m,VerticalDatum,LocalX,LocalY,LocalProjectionSRSName,PosAccuracy_m,State,County,Comments
VT4B,VT4B,10.544344,107.064782,WGS84,,,,,WGS 84 / UTM zone 48N,,,,
VT6,VT6,10.515381,107.087369,WGS84,,,,,WGS 84 / UTM zone 48N,,,,
VT7A,VT7A,10.367791,107.084111,WGS84,,,,,WGS 84 / UTM zone 48N,,,,
VT7B,VT7B,10.367777,107.084096,WGS84,,,,,WGS 84 / UTM zone 48N,,,,
NB1A,NB1A,10.63167,107.040943,WGS84,,,,,WGS 84 / UTM zone 48N,,,,
NB1B,NB1B,10.631677,107.040956,WGS84,,,,,WGS 84 / UTM zone 48N,,,,
NB2A,NB2A,10.646203,107.035451,WGS84,,,,,WGS 84 / UTM zone 48N,,,,
NB2B,NB2B,10.646212,107.035469,WGS84,,,,,WGS 84 / UTM zone 48N,,,,
NB3B,NB3B,10.59243,107.040421,WGS84,,,,,WGS 84 / UTM zone 48N,,,,
NB4,NB4,10.579145,107.136453,WGS84,,,,,WGS 84 / UTM zone 48N,,,,
VT2A,VT2A,10.639533,107.087733,WGS84,,,,,WGS 84 / UTM zone 48N,,,,
QT11,QT11,10.623716,107.057428,WGS84,,,,,WGS 84 / UTM zone 48N,,,,
QT07,QT07,10.578349,107.048045,WGS84,,,,,WGS 84 / UTM zone 48N,,,,
DN27,DN27,10.72424,106.92984,WGS84,,,,,WGS 84 / UTM zone 48N,,,,
DN30,DN30,10.669078,106.978173,WGS84,,,,,WGS 84 / UTM zone 48N,,,,
M7,M7,10.491012,107.173206,WGS84,,,,,WGS 84 / UTM zone 48N,,,,
