Data,LocalDateTime,UTCOffset,SiteCode,VariableCode,CensorCode,SourceID,QualityControlLevelID,MethodDescription
-9999,1/1/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,1/2/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,1/3/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,1/4/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,1/5/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,1/6/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,1/7/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,1/8/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,1/9/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,1/10/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,1/11/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,1/12/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,1/13/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,1/14/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,1/15/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,1/16/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,1/17/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,1/18/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,1/19/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,1/20/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,1/21/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,1/22/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,1/23/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,1/24/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,1/25/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,1/26/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,1/27/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,1/28/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,1/29/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,1/30/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,1/31/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,2/1/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,2/2/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,2/3/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,2/4/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,2/5/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,2/6/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,2/7/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,2/8/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,2/9/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,2/10/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,2/11/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,2/12/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,2/13/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,2/14/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,2/15/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,2/16/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,2/17/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,2/18/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,2/19/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,2/20/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,2/21/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,2/22/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,2/23/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,2/24/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,2/25/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,2/26/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,2/27/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,2/28/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,3/1/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,3/2/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,3/3/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,3/4/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,3/5/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,3/6/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,3/7/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,3/8/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,3/9/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,3/10/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,3/11/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,3/12/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,3/13/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,3/14/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,3/15/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,3/16/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,3/17/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,3/18/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,3/19/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,3/20/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,3/21/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,3/22/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,3/23/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,3/24/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,3/25/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,3/26/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,3/27/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,3/28/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,3/29/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,3/30/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,3/31/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,4/1/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,4/2/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,4/3/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,4/4/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,4/5/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,4/6/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,4/7/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,4/8/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,4/9/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,4/10/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,4/11/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,4/12/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,4/13/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,4/14/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,4/15/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,4/16/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,4/17/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,4/18/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,4/19/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,4/20/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,4/21/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,4/22/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,4/23/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,4/24/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,4/25/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,4/26/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,4/27/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,4/28/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,4/29/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,4/30/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,5/1/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,5/2/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,5/3/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,5/4/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,5/5/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,5/6/1991 0:00,7,DONGGIANG,RF,,1,,Manual
-9999,5/7/1991 0:00,7,DONGGIANG,RF,,1,,Manual
