DataValue,LocalDateTime,UTCOffset,SiteCode,VariableCode,CensorCode,SourceID,QualityControlLevelID,MethodDescription
3.8,1/1/1990 0:00,7,PHANTHIET,E,,1,,Manual
4,1/2/1990 0:00,7,PHANTHIET,E,,1,,Manual
5,1/3/1990 0:00,7,PHANTHIET,E,,1,,Manual
6,1/4/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.8,1/5/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.5,1/6/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.3,1/7/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.6,1/8/1990 0:00,7,PHANTHIET,E,,1,,Manual
4,1/9/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.6,1/10/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.8,1/11/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.8,1/12/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.6,1/13/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.3,1/14/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.7,1/15/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.1,1/16/1990 0:00,7,PHANTHIET,E,,1,,Manual
4,1/17/1990 0:00,7,PHANTHIET,E,,1,,Manual
4,1/18/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.7,1/19/1990 0:00,7,PHANTHIET,E,,1,,Manual
5,1/20/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.6,1/21/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.4,1/22/1990 0:00,7,PHANTHIET,E,,1,,Manual
6.8,1/23/1990 0:00,7,PHANTHIET,E,,1,,Manual
6,1/24/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.7,1/25/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.9,1/26/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.1,1/27/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.4,1/28/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.6,1/29/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.7,1/30/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.1,1/31/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.1,2/1/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.1,2/2/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.2,2/3/1990 0:00,7,PHANTHIET,E,,1,,Manual
4,2/4/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.9,2/5/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.4,2/6/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.4,2/7/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.6,2/8/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.8,2/9/1990 0:00,7,PHANTHIET,E,,1,,Manual
6.5,2/10/1990 0:00,7,PHANTHIET,E,,1,,Manual
6,2/11/1990 0:00,7,PHANTHIET,E,,1,,Manual
5,2/12/1990 0:00,7,PHANTHIET,E,,1,,Manual
5,2/13/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.6,2/14/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.5,2/15/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.9,2/16/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.3,2/17/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.1,2/18/1990 0:00,7,PHANTHIET,E,,1,,Manual
4,2/19/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.2,2/20/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.3,2/21/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.6,2/22/1990 0:00,7,PHANTHIET,E,,1,,Manual
2.4,2/23/1990 0:00,7,PHANTHIET,E,,1,,Manual
2.7,2/24/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.5,2/25/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.6,2/26/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.5,2/27/1990 0:00,7,PHANTHIET,E,,1,,Manual
4,2/28/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.5,3/1/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.1,3/2/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.6,3/3/1990 0:00,7,PHANTHIET,E,,1,,Manual
5,3/4/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.6,3/5/1990 0:00,7,PHANTHIET,E,,1,,Manual
6,3/6/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.8,3/7/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.6,3/8/1990 0:00,7,PHANTHIET,E,,1,,Manual
6,3/9/1990 0:00,7,PHANTHIET,E,,1,,Manual
6.2,3/10/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.6,3/11/1990 0:00,7,PHANTHIET,E,,1,,Manual
4,3/12/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.8,3/13/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.8,3/14/1990 0:00,7,PHANTHIET,E,,1,,Manual
6.6,3/15/1990 0:00,7,PHANTHIET,E,,1,,Manual
6.3,3/16/1990 0:00,7,PHANTHIET,E,,1,,Manual
7.8,3/17/1990 0:00,7,PHANTHIET,E,,1,,Manual
7.4,3/18/1990 0:00,7,PHANTHIET,E,,1,,Manual
7.1,3/19/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.9,3/20/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.7,3/21/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.7,3/22/1990 0:00,7,PHANTHIET,E,,1,,Manual
2.9,3/23/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.6,3/24/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.2,3/25/1990 0:00,7,PHANTHIET,E,,1,,Manual
4,3/26/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.9,3/27/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.1,3/28/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.3,3/29/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.6,3/30/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.3,3/31/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.5,4/1/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.4,4/2/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.8,4/3/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.4,4/4/1990 0:00,7,PHANTHIET,E,,1,,Manual
8.8,4/5/1990 0:00,7,PHANTHIET,E,,1,,Manual
9.3,4/6/1990 0:00,7,PHANTHIET,E,,1,,Manual
9,4/7/1990 0:00,7,PHANTHIET,E,,1,,Manual
7.3,4/8/1990 0:00,7,PHANTHIET,E,,1,,Manual
6.3,4/9/1990 0:00,7,PHANTHIET,E,,1,,Manual
2.9,4/10/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.7,4/11/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.4,4/12/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.6,4/13/1990 0:00,7,PHANTHIET,E,,1,,Manual
2.6,4/14/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.1,4/15/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.4,4/16/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.9,4/17/1990 0:00,7,PHANTHIET,E,,1,,Manual
6.3,4/18/1990 0:00,7,PHANTHIET,E,,1,,Manual
6.2,4/19/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.1,4/20/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.1,4/21/1990 0:00,7,PHANTHIET,E,,1,,Manual
6,4/22/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.7,4/23/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.6,4/24/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.6,4/25/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.9,4/26/1990 0:00,7,PHANTHIET,E,,1,,Manual
6.6,4/27/1990 0:00,7,PHANTHIET,E,,1,,Manual
7.4,4/28/1990 0:00,7,PHANTHIET,E,,1,,Manual
7.3,4/29/1990 0:00,7,PHANTHIET,E,,1,,Manual
7.1,4/30/1990 0:00,7,PHANTHIET,E,,1,,Manual
7,5/1/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.8,5/2/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.4,5/3/1990 0:00,7,PHANTHIET,E,,1,,Manual
4,5/4/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.6,5/5/1990 0:00,7,PHANTHIET,E,,1,,Manual
6.9,5/6/1990 0:00,7,PHANTHIET,E,,1,,Manual
6.1,5/7/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.4,5/8/1990 0:00,7,PHANTHIET,E,,1,,Manual
5,5/9/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.7,5/10/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.6,5/11/1990 0:00,7,PHANTHIET,E,,1,,Manual
5,5/12/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.2,5/13/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.5,5/14/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.6,5/15/1990 0:00,7,PHANTHIET,E,,1,,Manual
6,5/16/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.2,5/17/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.8,5/18/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.8,5/19/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.6,5/20/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.8,5/21/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.9,5/22/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.2,5/23/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.4,5/24/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.5,5/25/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.7,5/26/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.5,5/27/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.1,5/28/1990 0:00,7,PHANTHIET,E,,1,,Manual
7.2,5/29/1990 0:00,7,PHANTHIET,E,,1,,Manual
4,5/30/1990 0:00,7,PHANTHIET,E,,1,,Manual
6.4,5/31/1990 0:00,7,PHANTHIET,E,,1,,Manual
8.3,6/1/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.7,6/2/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.1,6/3/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.2,6/4/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.4,6/5/1990 0:00,7,PHANTHIET,E,,1,,Manual
2.8,6/6/1990 0:00,7,PHANTHIET,E,,1,,Manual
2.6,6/7/1990 0:00,7,PHANTHIET,E,,1,,Manual
1.7,6/8/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.4,6/9/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.8,6/10/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.8,6/11/1990 0:00,7,PHANTHIET,E,,1,,Manual
2.8,6/12/1990 0:00,7,PHANTHIET,E,,1,,Manual
2,6/13/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.4,6/14/1990 0:00,7,PHANTHIET,E,,1,,Manual
2.4,6/15/1990 0:00,7,PHANTHIET,E,,1,,Manual
1.9,6/16/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.3,6/17/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.2,6/18/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.4,6/19/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.6,6/20/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.1,6/21/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.1,6/22/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.9,6/23/1990 0:00,7,PHANTHIET,E,,1,,Manual
2.8,6/24/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.1,6/25/1990 0:00,7,PHANTHIET,E,,1,,Manual
6,6/26/1990 0:00,7,PHANTHIET,E,,1,,Manual
5,6/27/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.9,6/28/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.6,6/29/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.8,6/30/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.8,7/1/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.3,7/2/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.9,7/3/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.2,7/4/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.2,7/5/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.3,7/6/1990 0:00,7,PHANTHIET,E,,1,,Manual
7.4,7/7/1990 0:00,7,PHANTHIET,E,,1,,Manual
7.4,7/8/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.9,7/9/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.4,7/10/1990 0:00,7,PHANTHIET,E,,1,,Manual
4,7/11/1990 0:00,7,PHANTHIET,E,,1,,Manual
6.7,7/12/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.8,7/13/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.4,7/14/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.7,7/15/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.9,7/16/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.5,7/17/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.5,7/18/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.4,7/19/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.7,7/20/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.2,7/21/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.9,7/22/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.4,7/23/1990 0:00,7,PHANTHIET,E,,1,,Manual
5.8,7/24/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.9,7/25/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.8,7/26/1990 0:00,7,PHANTHIET,E,,1,,Manual
2.8,7/27/1990 0:00,7,PHANTHIET,E,,1,,Manual
5,7/28/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.4,7/29/1990 0:00,7,PHANTHIET,E,,1,,Manual
2.6,7/30/1990 0:00,7,PHANTHIET,E,,1,,Manual
2.8,7/31/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.2,8/1/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.4,8/2/1990 0:00,7,PHANTHIET,E,,1,,Manual
4,8/3/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.6,8/4/1990 0:00,7,PHANTHIET,E,,1,,Manual
4.5,8/5/1990 0:00,7,PHANTHIET,E,,1,,Manual
3.4,8/6/1990 0:00,7,PHANTHIET,E,,1,,Manual
