DataValue,LocalDateTime,UTCOffset,SiteCode,VariableCode,CensorCode,SourceID,QualityControlLevelID,MethodDescription
-999,01/01/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/02/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/03/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/04/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/05/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/06/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/07/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/08/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/09/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/10/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/11/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/12/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/13/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/14/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/15/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/16/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/17/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/18/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/19/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/20/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/21/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/22/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/23/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/24/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/25/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/26/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/27/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/28/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/29/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/30/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/31/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,02/01/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,02/02/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,02/03/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,02/04/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,02/05/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,02/06/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,02/07/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,02/08/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,02/09/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,02/10/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,02/11/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,02/12/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,02/13/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,02/14/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,02/15/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,02/16/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,02/17/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,02/18/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,02/19/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,02/20/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,02/21/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,02/22/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,02/23/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,02/24/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,02/25/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,02/26/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,02/27/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,02/28/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,03/01/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,03/02/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,03/03/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,03/04/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,03/05/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,03/06/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,03/07/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,03/08/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,03/09/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,03/10/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,03/11/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,03/12/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,03/13/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,03/14/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,03/15/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,03/16/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,03/17/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,03/18/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,03/19/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,03/20/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,03/21/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,03/22/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,03/23/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,03/24/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,03/25/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,03/26/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,03/27/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,03/28/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,03/29/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,03/30/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,03/31/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,04/01/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,04/02/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,04/03/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,04/04/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,04/05/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,04/06/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,04/07/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,04/08/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,04/09/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,04/10/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,04/11/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,04/12/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
1.6,04/13/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,04/14/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
23.8,04/15/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,04/16/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,04/17/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,04/18/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,04/19/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,04/20/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,04/21/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,04/22/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,04/23/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
6.5,04/24/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,04/25/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,04/26/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,04/27/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,04/28/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,04/29/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,04/30/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,05/01/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,05/02/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,05/03/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,05/04/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,05/05/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,05/06/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,05/07/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,05/08/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,05/09/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,05/10/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
0,05/11/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,05/12/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,05/13/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,05/14/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,05/15/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
36,05/16/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
1.6,05/17/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,05/18/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
0.8,05/19/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,05/20/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
0,05/21/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,05/22/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
2.8,05/23/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,05/24/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
3,05/25/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,05/26/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
0,05/27/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,05/28/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
0.6,05/29/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,05/30/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,05/31/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,06/01/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,06/02/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
0,06/03/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
0,06/04/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
64,06/05/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
4.3,06/06/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,06/07/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,06/08/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,06/09/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,06/10/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
1,06/11/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
3,06/12/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
1.8,06/13/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
11.4,06/14/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
2.6,06/15/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
32.4,06/16/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
0,06/17/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,06/18/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
0,06/19/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
14.2,06/20/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
0,06/21/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
1,06/22/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
0,06/23/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
13,06/24/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,06/25/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,06/26/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,06/27/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,06/28/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,06/29/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,06/30/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,07/01/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,07/02/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,07/03/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
0,07/04/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
7,07/05/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
7.5,07/06/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
17,07/07/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,07/08/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
1.5,07/09/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
1.5,07/10/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,07/11/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,07/12/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,07/13/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,07/14/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,07/15/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
0,07/16/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
0,07/17/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
53.5,07/18/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,07/19/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
37.5,07/20/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
30,07/21/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,07/22/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
0,07/23/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,07/24/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
1.7,07/25/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
0,07/26/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,07/27/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,07/28/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,07/29/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
33.4,07/30/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
0,07/31/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,08/01/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,08/02/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,08/03/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,08/04/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,08/05/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
33,08/06/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
1,08/07/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,08/08/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,08/09/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
12.9,08/10/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
12.6,08/11/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
27,08/12/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,08/13/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,08/14/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
0,08/15/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
9.8,08/16/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
3.5,08/17/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
8.1,08/18/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
6.5,08/19/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
0,08/20/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,08/21/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,08/22/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
15,08/23/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
12.7,08/24/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
0,08/25/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,08/26/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
3.5,08/27/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
0,08/28/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
10.9,08/29/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
8.4,08/30/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
1.6,08/31/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
